name,artist,album,album artist,added,spotify id,added by
Save The Children,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,7gvJadQt9vhgVHG7O1L2sc,sarsoo
Greenbax (Introlude),Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,0wmY92RjMZNGu54vEUmcUT,sarsoo
Paper Trail$,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,5jNrszQHRIVKmS9Ptb63pe,sarsoo
Piece of Mind,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,79eDnbSBUXoSaoRPqUhTur,sarsoo
Big Dusty,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,12Gtheom5qK2Hjo1qTCNkx,sarsoo
Hazeus View,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,5wrM3MbU9xNuSZGbmRm9B7,sarsoo
Like Me (feat. BJ The Chicago Kid),Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,7c5EpKbPpL86QVaP8yla8e,sarsoo
Belly of the Beast (feat. Chronixx),Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,7lGRaop0gCoVMeY9fSZIkR,sarsoo
No. 99,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,1Ora7FZJR5xWId7upB1dlo,sarsoo
Christ Conscious,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,2w9Qq5cflc8Z6BraiDCyes,sarsoo
On & On (feat. Maverick Sabre & Dyemond Lewis),Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,3nndHObJ5j5wpSKhTVODDG,sarsoo
Escape 120 (feat. Raury),Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,28j9YL5SeBl2EXFU1G1WEn,sarsoo
Black Beetles,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,7gZC4WIaFSGg38tvKD2jlA,sarsoo
O.C.B.,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,14MrWN36U9DSjKo7pOCQiN,sarsoo
Curry Chicken,Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,4v3MF3UyP6ZilmkDDhWmS9,sarsoo
Run Up On Ya (feat. Action Bronson & Elle Varner) (Bonus),Joey Bada$$,B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,3eJKAy9ZJaZLGS8EJlihXy,sarsoo
Teach Me,"Joey Bada$$, Kiesza",B4.DA.$$,Joey Bada$$,2019-02-15T11:35:01Z,2qMjIHWyYgnEtcmoZc3R0u,sarsoo
Caterpillar - Drumsound & Bassline Smith Remix,"Black Sun Empire, State of Mind, Drumsound & Bassline Smith",The Wrong Room Remixed,Black Sun Empire,2019-02-19T08:54:36Z,5Ycplzm1BPZYMQs9iMxNsB,sarsoo
One Drink,"DLMT, Paraleven",One Drink,"DLMT, Paraleven",2019-02-19T09:22:02Z,7Fo51x6cURFo9jCzcv7WOL,sarsoo
What's Up Danger - Black Caviar Remix,"Blackway, Black Caviar",What's Up Danger (Black Caviar Remix),"Blackway, Black Caviar",2019-02-19T09:28:44Z,0fOxkxw7FKXuzNs64bsmyb,sarsoo
Flat Tummy Tea,"Freddie Gibbs, Madlib",Flat Tummy Tea,"Freddie Gibbs, Madlib",2019-02-20T09:47:09Z,6eF5uKCQV2d0bhblAxLujV,sarsoo
Rampage Anthem VIP,"SASASAS, Macky Gee, DJ Phantasy, MC Shabba D, Stormin MC, MC Skibadee, Harry Shotta",Rampage Anthem VIP,"SASASAS, Macky Gee, DJ Phantasy",2019-02-22T08:55:29Z,0m9BpxJvsHlPTyQta201uF,sarsoo
How Did I Get Here (feat. J. Cole),"Offset, J. Cole",FATHER OF 4,Offset,2019-02-22T15:39:36Z,32iPykTXUNZ9oGyACGUybq,sarsoo
Tats On My Face,Offset,FATHER OF 4,Offset,2019-02-22T15:47:29Z,4TzXqUIcdpAmre24puQ6Uu,sarsoo
Made Men,Offset,FATHER OF 4,Offset,2019-02-22T15:49:47Z,7vkL4wrBEmzr1wsiWRd1zO,sarsoo
Astral Projection,Enrico Sangiuliano,Astral Projection,Enrico Sangiuliano,2019-02-26T11:02:48Z,32nw9Qc5rYjsPWGLy14Yh5,sarsoo
